message_id,content,ann_1,ann_2,ann_3,ann_4,ann_5,ann_6,ann_7,ann_8,ann_9,ann_10
COM_001,"Tai khoan cua ban dang duoc dang nhap tren thiet bi khac, neu khong phai ban dang nhap vui long vao https://vietcombank.vn-gll.top de sua doi mat khau hoac thoat khoi thiet bi kia",1,1,1,1,0,1,1,1,0,1
COM_002,"14192636813:COVID: Khi chua co thuoc dac tri.Co mot cach chua benh ky dieu khac.Do la tu luyen Phap Luan Cong, tang cuong he mien dich.Video: https://tnews.to/tri-benh",1,1,1,1,1,0,0,1,1,1
COM_003,"(ACB) Chung toi phat hien tai khoan cua ban dang tieu dung o nuoc ngoai, neu khong phai ban dang giao dich, vui long dang nhap https://acb.i-pay.vip de huy giao dich",1,1,1,1,1,1,1,1,1,1
COM_004,Thông báo từ VIETINBANK: Bạn dùng vui lòng đăng nhập vào vietinbamk.com ngay khi có thể để cập nhật xác thực. quá hạn tài khoản sẽ bị khóa. chúng tôi xin lỗi vì sự bất tiện (nếu có) đã gây ra cho bạn,1,1,1,1,1,1,1,1,1,1
COM_005,"Tai khoan cua ban dang duoc dang nhap tren thiet bi khac, neu khong phai ban dang nhap vui long vao https://vietcombank.vn-ctt vip de sua doi mat khau hoac thoat khoi thiet bi kia",1,1,1,1,1,1,1,1,1,1
COM_006,[Ngân hàng Techcombank] Thông báo. Ưu đãi có thời hạn!12.500 điểm thường thẻ tín dụng của bạn hết hạn hôm nay. Nhận ngay phần thường độc quyền của bạn :techcombank.huy-the-visa-vn.com,1,1,1,1,1,1,1,1,1,1
COM_007,"Ma OTP xac thuc GD la 066595, hieu luc 1 phut. Chi tiet GD: Chuyen khoan nhanh qua so TK, so tien 5,000,000 VND tren kenh Mobile cua dich vu VCB Digibank.",0,0,0,0,0,0,1,0,0,0
COM_008,"Tai khoan cua ban da dang ky chuong trinh quang cao tren TikTok, moi thang thu phi 3,800,000 VND. Vui long vao https://shb.com.vn-zy.top de kiem tra hoac de huy",1,1,1,1,1,1,1,1,1,1
COM_009,"Tai khoan cua ban dang duoc dang nhap tren thiet bi khac, neu khong phai ban dang nhap vui long vao https://vietcombank.vn-mtt.top de sua doi mat khau hoac thoat khoi thiet bi kia",1,1,1,1,0,0,1,1,1,1
COM_010,"Tai khoan cua ban dang duoc dang nhap tren thiet bi khac, neu khong phai ban dang nhap vui long vao https://techcombank.vn-ctt .vip de sua doi mat khau hoac thoat khoi thiet bi kia",1,1,1,1,1,1,1,1,1,1
COM_011,UNG DUNG VCB DIGIBANK cua ban duoc PHAT HIEN KICH HOAT tren thiet bi la. Neu KHONG PHAI BAN KICH HOAT vui long bam vao https://vietcombank.vn-nng.top de doi thiet bi hoac huy de tranh mat tai san,1,1,1,1,1,1,1,1,1,1
COM_012,"Tai khoan cua ban da mo dich vu tai chinh toan cau phi dich vu hang thang la 3,800,000VND se bi tru trong 3 gio. Neu khong phai ban mo dich vu vui long nhan vao https://vpbank.com.vn-hb.life de huy",1,1,1,1,1,1,1,1,1,1
COM_013,3d6 Hot Nhieu Nguoi Chon!!! Tai Khoan Moi Nhan Loc 188k Luc Dang Ky. Nap Dau Nhan Gap 2. Co Hoi Co Han LH ebmld.kejda.me 745,1,1,1,1,1,1,1,1,1,1
COM_014,"Tai khoan cua ban dang duoc dang nhap tren thiet bi khac, neu khong phai ban dang nhap vui long vao https://vietcombank.vn-utt.xyz de sua doi mat khau hoac thoat khoi thiet bi kia",1,1,1,1,1,1,1,1,1,1
COM_015,"Co Hoi Duy Nhat Hom Nay, Tan Thu Tham Gia Nhan Ngay 58K, Nap Lan Dau Nhan Them 1OOK Free. TruyCap: DrnJmi.LoZuF.me",1,1,1,1,1,1,1,1,1,1
COM_016,Tran trong thong bao toi quy khach! Tai khoan cua ban se bi tam ngung dich vu va0 ngay 3 thang 10. Vui long vao https://bidv.cc hom nay,1,1,1,1,1,1,0,1,1,1
COM_017,Chuc mung ban duoc trai nghiem Goi ho tro tang doanh thu giup tang truong ngay ngoai chien dich. Moi ban xem thong tin chi tiet tai day: https://lzd.co/3EjOQRu,1,1,1,1,1,1,1,1,1,1
COM_018,"Phat hien tai khoan cua ban dang nhap khac vung bat thuong, vui long dang nhap https://i-sacombank.com xac nhan thong tin va thay doi mat khau",1,1,1,1,1,1,1,1,1,1
COM_019,"Apple Inc, iPhone 13 Pro Max Sierra Blue cua ban da duoc dinh vi hom nay luc 08:10 ΑΜ. Xem vi tri tai: ICloud.co/2k610s Ho Tro Apple",1,1,1,1,1,1,1,1,1,1
COM_020,"Tai khoan cua ban da dang ky chuong trinh quang cao tren Tik Tok, moi thang thu phi 3,200,000 VND. Vui long vao https://vietcombank.vn -llc.top de kiem tra hoac de huy",1,1,1,1,1,1,1,1,1,0
COM_021,"Tai khoan cua ban da dang ky chuong trinh quang cao tren TikTok, moi thang thu phi 5,600,000VND. Vui long vao https://msb.com.vn-sp.top de kiem tra hoac de huy",1,1,1,1,1,1,1,1,1,0
COM_022,Tran trong thong bao toi quy khach! Tai khoan cua ban se bi tam ngung dich vu va0 ngay 3 thang 10. Vui long vao www.bidvsmat.com hom nay,1,1,1,1,1,1,1,1,1,1
